SC, 111, 415, 350-2565, no, no, 0, 110.4, 103, 18.77, 137.3, 102, 11.67, 189.6, 105, 8.53, 7.7, 6, 2.08, 2, False.
VA, 132, 510, 343-4696, no, no, 0, 81.1, 86, 13.79, 245.2, 72, 20.84, 237, 115, 10.67, 10.3, 2, 2.78, 0, False.
NE, 174, 415, 331-3698, no, no, 0, 124.3, 76, 21.13, 277.1, 112, 23.55, 250.7, 115, 11.28, 15.5, 5, 4.19, 3, False.
WY, 57, 408, 357-3817, no, yes, 39, 213, 115, 36.21, 191.1, 112, 16.24, 182.7, 115, 8.22, 9.5, 3, 2.57, 0, False.
MT, 54, 408, 418-6412, no, no, 0, 134.3, 73, 22.83, 155.5, 100, 13.22, 102.1, 68, 4.59, 14.7, 4, 3.97, 3, False.
MO, 20, 415, 353-2630, no, no, 0, 190, 109, 32.3, 258.2, 84, 21.95, 181.5, 102, 8.17, 6.3, 6, 1.7, 0, False.
HI, 49, 510, 410-7789, no, no, 0, 119.3, 117, 20.28, 215.1, 109, 18.28, 178.7, 90, 8.04, 11.1, 1, 3, 1, False.
IL, 142, 415, 416-8428, no, no, 0, 84.8, 95, 14.42, 136.7, 63, 11.62, 250.5, 148, 11.27, 14.2, 6, 3.83, 2, False.
NH, 75, 510, 370-3359, no, no, 0, 226.1, 105, 38.44, 201.5, 107, 17.13, 246.2, 98, 11.08, 10.3, 5, 2.78, 1, False.
LA, 172, 408, 383-1121, no, no, 0, 212, 121, 36.04, 31.2, 115, 2.65, 293.3, 78, 13.2, 12.6, 10, 3.4, 3, False.
AZ, 12, 408, 360-1596, no, no, 0, 249.6, 118, 42.43, 252.4, 119, 21.45, 280.2, 90, 12.61, 11.8, 3, 3.19, 1, True.
OK, 57, 408, 395-2854, no, yes, 25, 176.8, 94, 30.06, 195, 75, 16.58, 213.5, 116, 9.61, 8.3, 4, 2.24, 0, False.
GA, 72, 415, 362-1407, no, yes, 37, 220, 80, 37.4, 217.3, 102, 18.47, 152.8, 71, 6.88, 14.7, 6, 3.97, 3, False.
AK, 36, 408, 341-9764, no, yes, 30, 146.3, 128, 24.87, 162.5, 80, 13.81, 129.3, 109, 5.82, 14.5, 6, 3.92, 0, False.
MA, 78, 415, 353-3305, no, no, 0, 130.8, 64, 22.24, 223.7, 116, 19.01, 227.8, 108, 10.25, 10, 5, 2.7, 1, False.
AK, 136, 415, 402-1381, yes, yes, 33, 203.9, 106, 34.66, 187.6, 99, 15.95, 101.7, 107, 4.58, 10.5, 6, 2.84, 3, False.
NJ, 149, 408, 332-9891, no, no, 0, 140.4, 94, 23.87, 271.8, 92, 23.1, 188.3, 108, 8.47, 11.1, 9, 3, 1, False.
GA, 98, 408, 372-9976, no, no, 0, 126.3, 102, 21.47, 166.8, 85, 14.18, 187.8, 135, 8.45, 9.4, 2, 2.54, 3, False.
MD, 135, 408, 383-6029, yes, yes, 41, 173.1, 85, 29.43, 203.9, 107, 17.33, 122.2, 78, 5.5, 14.6, 15, 3.94, 0, True.
AR, 34, 510, 353-7289, no, no, 0, 124.8, 82, 21.22, 282.2, 98, 23.99, 311.5, 78, 14.02, 10, 4, 2.7, 2, False.
ID, 160, 415, 390-7274, no, no, 0, 85.8, 77, 14.59, 165.3, 110, 14.05, 178.5, 92, 8.03, 9.2, 4, 2.48, 3, False.
WI, 64, 510, 352-1237, no, no, 0, 154, 67, 26.18, 225.8, 118, 19.19, 265.3, 86, 11.94, 3.5, 3, 0.95, 1, False.
OR, 59, 408, 353-3061, no, yes, 28, 120.9, 97, 20.55, 213, 92, 18.11, 163.1, 116, 7.34, 8.5, 5, 2.3, 2, False.
MI, 65, 415, 363-5450, no, no, 0, 211.3, 120, 35.92, 162.6, 122, 13.82, 134.7, 118, 6.06, 13.2, 5, 3.56, 3, False.
DE, 142, 408, 364-1995, no, no, 0, 187, 133, 31.79, 134.6, 74, 11.44, 242.2, 127, 10.9, 7.4, 5, 2, 2, False.
ID, 119, 415, 398-1294, no, no, 0, 159.1, 114, 27.05, 231.3, 117, 19.66, 143.2, 91, 6.44, 8.8, 3, 2.38, 5, True.
WY, 97, 415, 405-7146, no, yes, 24, 133.2, 135, 22.64, 217.2, 58, 18.46, 70.6, 79, 3.18, 11, 3, 2.97, 1, False.
